sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
0,640,1.85,0.185,0.42,1.7938e+09,nan,640,nan
1,910,0.65,0.155,0.54,1.7938e+09,nan,630,nan
2,820,1.1,0.17,0.5,1.7938e+09,nan,512,nan
3,280,1.7,0.125,0.58,1.7938e+09,nan,280,nan
4,100,1.55,0.11,0.3,1.7938e+09,nan,198,nan
5,730,0.5,0.095,0.66,1.7938e+09,nan,87,nan
6,550,0.8,0.065,0.62,1.7938e+09,nan,111,nan
7,190,0.95,0.05,0.46,1.7938e+09,nan,154,nan
8,460,1.4,0.08,0.38,1.7938e+09,nan,441,nan
9,370,1.25,0.14,0.34,1.7938e+09,nan,370,nan
