sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
0,443.8,1.997,0.095,0.6456,45.4,15.2735,275.925,49.6035
1,717.4,1.892,0.0671,0.3752,68.65,3.81838,293.55,37.7595
2,802,0.815,0.0695,0.3672,3.6465e+07,5.15692e+07,287.925,42.7446
3,888.4,1.514,0.1298,0.3576,36.25,5.58614,651.175,43.0274
4,274.6,0.614,0.1808,0.4688,0,0,269.975,10.5712
5,667,1.007,0.1856,0.476,3.225,0.954594,652.225,1.94454
6,778.6,1.952,0.0779,0.3048,53.175,18.4201,456.225,86.6559
7,953.2,0.515,0.1619,0.6072,113.6,40.6586,401.225,22.3092
8,386.2,1.352,0.1919,0.6336,0,0,377.325,13.6825
9,764.2,1.298,0.0755,0.4016,65.725,5.26795,305,19.3747
10,623.8,1.601,0.0725,0.368,56.775,3.28805,344.65,2.26274
11,128.8,0.557,0.1517,0.6488,0,0,129.75,1.06066
12,116.2,1.817,0.1034,0.4288,0,0,133.925,1.52028
13,368.2,1.16,0.1784,0.6952,0,0,369,0
14,499.6,0.59,0.1067,0.3104,27.925,0.601041,410.35,28.0721
15,132.4,0.8,0.0797,0.42,0,0,133,0
16,389.8,0.608,0.1598,0.3416,0,0,380.25,13.7886
17,589.6,0.668,0.1955,0.5168,16.45,1.41421,533.2,5.58614
18,625.6,1.799,0.1697,0.6504,15.35,5.09117,543.1,1.90919
19,107.2,0.68,0.1796,0.5768,0,0,173.95,7.56604
20,546.4,0.803,0.1196,0.5568,44.975,0.671751,344.325,7.10642
21,699.4,1.454,0.0683,0.3872,63.75,5.79828,307.775,53.5633
22,433,0.845,0.065,0.444,64.375,0.176777,196.55,10.8894
23,474.4,1.025,0.0668,0.568,51.925,4.9851,254.125,13.8239
24,517.6,1.649,0.0911,0.4544,42.15,1.27279,315.775,2.86378
25,967.6,1.934,0.1793,0.3424,9.675,3.78302,897.25,21.496
26,692.2,1.496,0.098,0.4704,44.675,3.50018,403.525,33.4108
27,852.4,0.506,0.1685,0.5632,105.45,1.06066,445.75,35.921
28,803.8,0.665,0.1901,0.5128,54.9,19.5161,560.9,84.4285
29,937,1.037,0.1412,0.4064,31.625,2.51023,716.3,5.37401
30,191.8,0.92,0.1466,0.5272,0,0,194.625,0.106066
31,375.4,1.79,0.1949,0.36,0,0,376.3,0.424264
32,890.2,1.715,0.194,0.6832,28.45,13.3643,670.5,32.8098
33,924.4,1.439,0.1727,0.4608,22.1,7.70746,740.075,49.5328
34,236.8,1.58,0.1508,0.6152,0,0,231.475,7.81353
35,769.6,1.193,0.1931,0.5336,12.225,0.388909,712.525,11.0662
36,458.2,0.95,0.1952,0.312,0,0,447.525,16.2281
37,859.6,0.98,0.0707,0.5048,82.6,11.8794,208.375,23.9356
38,627.4,1.721,0.1343,0.4792,12.2,2.47487,540.65,1.69706
39,296.2,0.731,0.1586,0.4256,0,0,297.15,0.212132
40,321.4,1.778,0.0533,0.4584,46.125,7.24784,180.8,9.61665
41,411.4,1.571,0.1814,0.3264,0,0,412.25,0.353553
42,465.4,1.175,0.1556,0.6704,3.7,5.23259,443.15,32.1734
43,892,0.53,0.0602,0.384,142.65,1.06066,150.75,12.0915
44,226,1.541,0.1061,0.6288,0,0,220.35,7.99031
45,613,1.403,0.1613,0.6104,14.1,5.44472,530.975,19.8343
46,103.6,1.793,0.1649,0.304,0,0,304.7,12.3037
47,911.8,1.52,0.1079,0.508,56.95,10.1116,450.9,85.8428
48,595,1.889,0.0974,0.6608,41.7,1.55563,351.675,34.1179
49,569.8,1.448,0.0929,0.6592,57.6,4.45477,251.975,54.9776
50,152.2,1.829,0.0521,0.6368,13.65,0.282843,131.025,2.22739
51,478,1.232,0.0914,0.5328,47.975,0.671751,312,28.355
52,316,0.65,0.1016,0.3232,0,0,308.1,11.1723
53,308.8,1.202,0.1496,0.5264,0,0,309,0
54,710.2,1.565,0.1328,0.4904,26.6,4.94975,549.775,35.7442
55,834.4,1.145,0.1721,0.6128,30.875,8.02566,635.4,32.3148
56,841.6,1.085,0.1481,0.3728,19.4,2.96985,694.2,54.8715
57,429.4,1.223,0.1637,0.4464,0,0,430,0
58,159.4,0.962,0.1568,0.3992,0,0,250.25,7.99031
59,299.8,1.211,0.0857,0.5176,6.15,0.636396,285.95,1.62635
60,224.2,0.872,0.1802,0.6272,0,0,222.4,12.0915
61,676,1.133,0.0935,0.3584,36.2,14.425,500.9,45.7498
62,998.2,1.436,0.1526,0.4032,32.95,7.84889,722.75,105.854
63,283.6,1.247,0.0614,0.5064,34.975,2.22739,202.4,1.48492
64,172,1.535,0.0872,0.3016,0,0,177.275,6.2579
65,798.4,0.944,0.1073,0.644,52.575,6.32861,409.525,18.1373
66,312.4,0.602,0.068,0.4536,67.85,1.13137,176.425,13.7532
67,406,0.524,0.1355,0.4096,6.6,2.33345,393.05,2.68701
68,760.6,1.355,0.119,0.4416,46.45,3.04056,459.175,16.2281
69,825.4,1.475,0.173,0.4336,17.825,0.742462,706.075,38.6434
70,476.2,0.86,0.1469,0.576,15.325,1.80312,412.55,3.74767
71,407.8,1.595,0.1025,0.56,13.275,8.23779,360.675,18.1373
72,868.6,1.397,0.0785,0.6184,48.475,4.56084,378.7,34.9311
73,665.2,1.127,0.0509,0.3184,70.15,0.424264,229.9,27.2943
74,244,1.511,0.0824,0.4896,0.075,0.0353553,237.8,8.69741
75,195.4,0.836,0.107,0.3408,0,0,206.3,6.6468
76,461.8,1.586,0.071,0.6064,46.475,5.97505,242.625,19.9758
77,659.8,1.919,0.1127,0.4456,32.2,6.36396,489.9,53.3159
78,766,0.77,0.1601,0.408,44.375,1.94454,567.85,37.9009
79,377.2,1.844,0.1844,0.6784,0,0,378,0
80,188.2,1.739,0.1172,0.3272,0,0,214.625,7.24784
81,350.2,1.268,0.0827,0.6768,32.075,2.15668,252.4,0.707107
82,631,1.823,0.1538,0.4304,1.4,1.9799,607.55,33.1633
83,382.6,1.151,0.1091,0.6096,12.275,0.0353553,340.25,5.58614
84,179.2,0.842,0.1223,0.4392,0,0,177.675,7.45998
85,996.4,1.37,0.1175,0.4496,56.95,1.62635,531.85,25.3144
86,231.4,0.782,0.1307,0.5824,0,0,226.2,8.20244
87,326.8,1.316,0.0638,0.5784,42.6,4.17193,209.05,31.2541
88,771.4,0.551,0.1325,0.6872,83.225,16.5817,350.475,72.0895
89,607.6,0.947,0.0542,0.6624,29.75,6.6468,134.05,41.5779
90,145,1.592,0.0806,0.48,0,0,141.375,5.12652
91,422.2,0.677,0.1961,0.4424,0,0,423,0
92,323.2,1.028,0.0992,0.424,0.375,0.318198,314.8,12.1622
93,427.6,1.718,0.1442,0.66,2.175,1.6617,419.8,7.2832
94,173.8,1.796,0.1757,0.532,0,0,215.375,4.49013
95,469,1.658,0.1358,0.6552,9.4,1.83848,431.125,8.23779
96,836.2,1.559,0.1157,0.3152,19.475,5.6215,683.425,62.2608
97,605.8,1.391,0.1943,0.5576,4.3,1.13137,588.6,6.15183
98,614.8,0.626,0.113,0.3096,46.35,2.89914,446.075,51.6542
99,141.4,1.709,0.0653,0.6728,0.675,0.247487,141.4,0.0707107
100,978.4,1.637,0.137,0.376,33.875,0.247487,700.525,40.1283
101,550,0.512,0.0644,0.4568,125.25,2.19203,131.825,8.80348
102,415,1.109,0.092,0.492,19.275,3.50018,341.3,1.06066
103,695.8,0.752,0.11,0.3176,46.2,0.777817,485.625,14.531
104,121.6,1.331,0.1445,0.4808,0,0,187.575,5.48008
105,785.8,1.925,0.0752,0.3248,57.125,4.56084,439.325,38.9969
106,100,1.907,0.1022,0.3712,0,0,157.675,4.70226
107,971.2,1.487,0.1658,0.664,42.425,6.2579,622.025,40.9768
108,143.2,1.604,0.0776,0.3056,0,0,154.975,0.671751
109,879.4,1.121,0.1169,0.6984,41.125,23.0163,513.4,175.575
110,289,0.647,0.1088,0.32,0,0,289.975,1.37886
111,118,1.583,0.0635,0.6112,0,0,117.975,0.0353553
112,782.2,1.694,0.0578,0.5448,51,6.36396,293.525,4.77297
113,355.6,1.85,0.0839,0.4408,11.225,0.53033,323.275,0.53033
114,737.2,0.725,0.1817,0.496,24.35,10.1116,597.825,3.71231
115,271,0.686,0.1139,0.4776,0,0,271,0
116,881.2,1.334,0.1394,0.4232,34.05,3.9598,611.425,6.2579
117,177.4,1.421,0.1742,0.6944,0,0,184.15,0.141421
118,456.4,1.226,0.1277,0.592,15.425,0.318198,403.65,8.34386
119,181,1.901,0.1502,0.3768,0,0,246.85,2.96985
120,641.8,1.277,0.1661,0.6344,15.45,5.72756,541.275,8.02566
121,767.8,1.955,0.1385,0.6328,41.15,5.79828,494.575,10.5005
122,535.6,1.973,0.1916,0.4824,0,0,536,0
123,148.6,0.566,0.1751,0.5304,0,0,188.15,3.46482
124,483.4,1.943,0.0626,0.5968,58.65,7.00036,183.375,14.531
125,317.8,1.49,0.1457,0.6904,0.9,1.27279,316.35,2.33345
126,398.8,0.935,0.1832,0.4848,0,0,399,0
127,728.2,0.788,0.1205,0.6512,69.9,29.4156,378.65,111.511
128,960.4,1.895,0.1055,0.6144,66.875,19.7636,409.225,13.1168
129,895.6,1.784,0.1907,0.5224,12.675,6.54074,778.675,72.4431
130,267.4,1.115,0.1667,0.5976,0,0,268,0
131,762.4,1.076,0.1058,0.356,37.4,2.82843,539.325,14.4603
132,281.8,1.769,0.1529,0.528,0,0,282,0
133,379,1.064,0.1571,0.5872,0,0,379,0
134,677.8,1.349,0.1037,0.348,26.175,2.22739,533.225,23.7941
135,656.2,1.517,0.0749,0.5656,57.35,14.0714,309.2,24.2538
136,982,0.971,0.0836,0.4624,79.925,2.58094,323.775,93.0906
137,460,1.529,0.1853,0.556,0,0,460,0
138,325,0.575,0.1748,0.668,2.15,0.282843,314.225,11.6319
139,366.4,0.554,0.1154,0.672,71.625,17.1473,221.575,35.3907
140,688.6,1.538,0.1451,0.4968,21,9.12168,576.95,52.6087
141,514,1.208,0.1202,0.3784,0.775,0.388909,511.3,1.27279
142,872.2,0.707,0.0881,0.6088,92,17.7484,299.1,19.2333
