sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
0,931.6,1.745,0.0662,0.404,69.275,2.15668,312.1,55.1543
1,362.8,1.715,0.0704,0.5064,40.55,5.72756,238.175,15.026
2,866.8,1.052,0.053,0.6768,1.32128e+07,1.86856e+07,228.625,40.2697
3,897.4,1.127,0.0548,0.4696,74.95,11.5258,155.2,14.6371
4,175.6,0.65,0.1703,0.6312,0,0,176.875,1.23744
5,281.8,1.277,0.0932,0.3952,0,0,282,0
6,764.2,1.025,0.0794,0.4344,66.075,4.63155,285.175,84.3225
7,886.6,1.394,0.1601,0.3416,18.2,1.20208,772.775,2.93449
8,652.6,0.608,0.1826,0.6672,72.05,1.3435,390.85,39.103
9,618.4,1.685,0.1385,0.596,21.025,6.68216,507.6,43.7699
10,643.6,1.553,0.107,0.6824,28.825,4.91439,450.925,25.4912
11,605.8,1.859,0.1538,0.6872,26.95,9.33381,464.7,49.7803
12,994.6,1.928,0.1619,0.304,11.025,7.45998,883.225,86.7266
13,375.4,0.575,0.1892,0.3624,0,0,377.9,0.141421
14,899.2,1.178,0.1355,0.5952,48.5,0.565685,510.725,37.5827
15,343,1.436,0.0596,0.6608,40.725,0.388909,197.3,2.6163
16,440.2,1.895,0.1052,0.456,5.725,3.14663,412.35,4.73762
17,164.8,1.472,0.1937,0.3656,0,0,310.425,13.9654
18,814.6,0.53,0.1916,0.636,103.625,3.57089,415.25,3.04056
19,776.8,1.229,0.1118,0.3192,20.275,3.14663,645.4,2.68701
20,625.6,1.091,0.1535,0.4496,3.3,1.62635,590.975,20.6829
21,517.6,1.514,0.0758,0.6432,57.175,12.2683,233.9,32.3148
22,859.6,1.124,0.1256,0.4512,33.525,3.42947,593.15,23.6174
23,352,1.619,0.1289,0.6216,0.025,0.0353553,351.9,0.141421
24,794.8,1.781,0.1997,0.3224,0,0,775.125,28.1075
25,744.4,0.536,0.1331,0.5456,136.325,20.1172,277.375,78.3828
26,218.8,1.469,0.1304,0.3984,0,0,221.175,14.1068
27,589.6,1.583,0.1523,0.5592,11.95,7.70746,539.675,30.0167
28,497.8,0.758,0.1862,0.5192,0.775,1.0253,481.225,13.0461
29,629.2,0.959,0.0701,0.5504,61.3,16.3342,260.1,103.238
30,371.8,1.613,0.1949,0.6544,0,0,372,0
31,996.4,1.421,0.1559,0.344,19.05,3.11127,841.775,1.52028
32,344.8,0.938,0.1742,0.6056,0,0,336.375,12.1976
33,501.4,1.154,0.1133,0.4488,8.575,4.9851,464.075,19.1979
34,888.4,1.955,0.0671,0.4704,70.5,11.3844,284.675,27.3297
35,573.4,1.448,0.1871,0.448,0,0,574,0
36,676,1.622,0.1832,0.524,7.4,0.777817,614.7,41.0829
37,226,0.791,0.1085,0.4856,0,0,226,0
38,353.8,1.847,0.1865,0.3776,0,0,346.5,10.6066
39,757,1.997,0.1658,0.5424,21.375,1.44957,627.25,15.3442
40,791.2,0.68,0.1556,0.628,66.3,9.40452,384.775,49.8864
41,186.4,0.971,0.1961,0.3848,0,0,311.45,14.0007
42,451,1.352,0.101,0.6024,31.575,10.9955,340.85,36.3453
43,947.8,1.547,0.1013,0.4896,50.9,1.76777,473.2,0.424264
44,825.4,0.527,0.1439,0.4464,115.025,18.0666,348.375,16.4402
45,469,1.187,0.1043,0.3384,0.3,0.424264,468,1.41421
46,946,1.043,0.0941,0.4472,64.025,6.89429,420.6,93.9038
47,298,0.947,0.131,0.5,0,0,298,0
48,319.6,1.262,0.1904,0.5216,0,0,321.275,1.80312
49,937,1.016,0.0737,0.5088,81.3,5.02046,274.1,31.9612
50,145,1.952,0.0806,0.6616,0,0,141.375,5.12652
51,758.8,1.34,0.0839,0.4824,64.775,0.318198,300.925,65.2306
52,976.6,0.62,0.1352,0.3368,87.4,4.10122,473.275,22.5921
53,548.2,1.064,0.1172,0.6352,39.1,5.02046,385.175,9.43988
54,737.2,0.695,0.0881,0.6376,72.075,31.7844,346.575,214.501
55,393.4,1.451,0.1109,0.624,16.625,3.50018,335.25,11.3137
56,409.6,1.373,0.149,0.4712,0,0,399.75,14.4957
57,883,1.694,0.155,0.5808,37,3.88909,590.3,37.1938
58,661.6,1.25,0.1691,0.4016,1.1,1.55563,642.025,28.2489
59,206.2,0.659,0.1964,0.4544,0,0,263.275,17.3595
60,710.2,1.586,0.1844,0.3088,0,0,693.225,25.1376
61,607.6,1.022,0.1613,0.312,0,0,608,0
62,463.6,1.322,0.0944,0.5376,43.05,8.13173,291.45,3.88909
63,238.6,1.829,0.1661,0.6864,0,0,239.15,0.212132
64,460,1.028,0.0797,0.604,47.625,15.6624,246.35,61.0233
65,476.2,1.658,0.0965,0.6808,42,7.21249,316.825,11.9147
66,526.6,0.674,0.1166,0.3104,8.225,3.35876,501.875,12.4804
67,496,1.856,0.1214,0.3808,0.025,0.0353553,495.95,0.0707107
68,564.4,1.28,0.1958,0.484,0,0,550.875,19.9758
69,679.6,1.817,0.0977,0.3792,44.45,6.78823,431.6,23.5467
70,739,0.935,0.1262,0.3272,11.975,7.24784,657.3,2.33345
71,872.2,1.973,0.0524,0.3992,78.025,0.247487,216.525,37.4413
72,258.4,0.518,0.1244,0.3536,0,0,253.55,7.70746
73,731.8,0.983,0.1715,0.3312,0,0,732,0
74,933.4,1.937,0.0533,0.408,77.175,1.6617,258.125,28.3903
75,969.4,1.835,0.0767,0.6648,38.9,7.07107,423.7,41.0122
76,139.6,1.739,0.1067,0.356,0,0,171.375,9.5813
77,884.8,1.568,0.1412,0.3264,17.275,0.0353553,759.975,8.16708
78,308.8,1.844,0.1451,0.352,0,0,302.525,10.0056
79,107.2,1.292,0.0503,0.416,0,0,108,0
80,722.8,0.515,0.0611,0.5648,82.075,15.8745,116.275,12.6926
81,566.2,1.247,0.0722,0.32,37.675,4.278,402.1,26.3044
82,609.4,1.61,0.0857,0.3112,25.25,0.636396,482.05,12.3037
83,314.2,0.941,0.1856,0.4312,0,0,317.1,1.27279
84,224.2,0.908,0.1388,0.4184,0,0,228.6,8.76812
85,944.2,1.91,0.0605,0.6696,35.35,0.424264,316.975,76.9686
86,537.4,0.545,0.1028,0.6896,117.725,3.78302,190.15,26.8701
87,704.8,1.862,0.1982,0.488,1.125,0.671751,696.7,5.9397
88,416.8,1.37,0.0683,0.5832,46.3,2.05061,215.625,24.8548
89,665.2,0.842,0.1649,0.3136,0,0,666,0
90,443.8,1.604,0.1187,0.5792,17.3,0.141421,370.925,12.2683
91,890.2,1.067,0.1196,0.652,49.125,5.05581,502.825,70.8875
92,103.6,1.289,0.0854,0.612,0,0,101.4,3.67696
93,672.4,0.902,0.1562,0.432,10.575,3.78302,611,0.989949
94,591.4,0.692,0.128,0.584,68.575,9.43988,312.525,9.15703
95,622,1.757,0.0578,0.6008,60.375,2.22739,172.6,42.9214
96,865,1.961,0.0695,0.4448,61.375,5.83363,308.525,9.01561
97,123.4,0.8,0.1466,0.5416,0,0,147.15,10.3238
98,956.8,1.889,0.0746,0.692,40.075,13.0461,479.775,15.026
99,366.4,1.982,0.1145,0.6856,12.55,9.05097,331.5,23.6881
100,913.6,1.571,0.1754,0.6048,23.75,1.13137,700.65,19.6576
101,821.8,0.701,0.1889,0.5328,69.6,4.24264,486.55,53.8108
102,380.8,1.73,0.0926,0.62,27.3,12.5158,295.1,25.2437
103,677.8,1.199,0.1931,0.3248,0,0,678,0
104,611.2,1.934,0.1598,0.3816,0,0,612,0
105,974.8,0.689,0.1238,0.3728,88.875,16.9352,455.05,55.72
106,980.2,1.958,0.1334,0.6232,44.6,7.56604,560.675,10.0056
107,265.6,1.667,0.1229,0.4152,0,0,266.35,0.494975
108,100,1.361,0.0884,0.396,0,0,116.925,5.26795
109,388,0.755,0.194,0.4352,0,0,388,0
110,762.4,0.716,0.1232,0.3696,51.625,7.38927,471.1,22.981
111,926.2,0.809,0.0851,0.676,50.875,12.5511,503.5,102.743
112,668.8,1.565,0.188,0.5784,10.35,6.01041,632.225,19.9051
113,404.2,1.073,0.1502,0.4584,0,0,404.975,0.0353553
114,386.2,1.724,0.1325,0.6576,5,0.282843,372.325,3.21734
115,647.2,1.832,0.1178,0.4,15.7,1.90919,564.625,19.4101
116,703,1.496,0.0587,0.5544,62.65,4.80833,226.7,5.9397
117,334,0.917,0.1409,0.5256,0,0,334,0
118,512.2,0.677,0.167,0.6128,31,6.57609,410.775,3.28805
119,458.2,1.349,0.1547,0.496,0,0,459,0
120,231.4,1.475,0.0878,0.3496,0,0,232,0
121,645.4,0.686,0.0866,0.6296,74.925,1.0253,324.125,15.6624
122,499.6,1.691,0.1553,0.3592,0,0,500,0
123,850.6,0.788,0.0929,0.6184,70.8,31.6077,441.925,98.8182
124,613,1.529,0.1883,0.3216,0,0,613,0
125,935.2,0.896,0.0764,0.3256,67.575,2.01525,363,1.27279
126,427.6,1.031,0.1814,0.4272,0,0,428,0
127,116.2,0.797,0.1859,0.4936,0,0,235.825,6.965
128,541,1.334,0.0923,0.4128,40.85,13.7179,380.325,61.3415
129,958.6,1.637,0.1136,0.512,52.65,20.0111,473.175,153.548
