sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
0,320,0.6,0.15,0.45,320,0,0,0,1
1,740,0.85,0.025,0.55,0.12,0.268328,0.96,1.20955,0.000162162
2,620,0.75,0.225,0.7,489.1,51.8337,31.12,14.492,0.788871
3,200,0.9,0.175,0.3,200,0,0,0,1
4,440,0.55,0.075,0.25,347.66,14.1247,45.1,6.3364,0.790136
5,260,0.8,0.2,0.65,260,0,0,0,1
6,380,0.65,0.125,0.4,373.98,6.16093,3.22,3.41057,0.984158
7,500,0.7,0,0.6,0,0,626.68,4.37744,0
8,560,0.5,0.05,0.35,152.34,22.8518,138.7,22.3596,0.272036
9,680,0.95,0.1,0.5,303.68,38.8557,62.78,7.79917,0.446588
