sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators,normalized_prey
0,440,0.8,0.025,0.25,138.52,12.7831,90,5.42817,0.314818
1,680,0.55,0.05,0.55,88.58,53.4817,49.06,13.8348,0.130265
2,380,0.5,0.175,0.3,380,0,0,0,1
3,740,0.7,0.15,0.6,413.66,53.1718,74.36,6.14272,0.559
4,260,0.9,0.125,0.5,260,0,0,0,1
5,200,0.6,0.075,0.35,199.7,0.519615,0.3,0.519615,0.9985
6,500,0.95,0.2,0.65,479.88,15.0974,4.96,4.59598,0.95976
7,620,0.65,0.1,0.4,314.98,41.0409,80.34,11.0392,0.508032
8,320,0.85,0.225,0.45,320,0,0,0,1
9,560,0.75,0,0.7,0,0,673.8,8.03275,0
